supplier_name,country,category,annual_spend_usd_m,is_single_source,lat,lon,credit_score,payment_delay_days,revenue_volatility_pct,lead_time_variance_pct,defect_rate_ppm,on_time_delivery_pct,political_stability,disaster_risk_index,lpi_score,financial_risk,geographic_risk,operational_risk,concentration_risk,esg_risk,composite_risk_score,risk_tier,tier_label,tier_color,tier_action,disruption_probability,impact_multiplier,disruption_exposure_usd_m,recommendations
PT Musim Mas,Indonesia,Palm Oil,22.1,1,-0.79,113.92,765,17,23.5,21,713,79.8,40,72,2.8,51.4,68.9,54.6,71.2,69.5,60.6,1,Tier 1 — High Risk,#E31837,Immediate Action Required,0.722,2.2,35.1,Qualify at least one alternate supplier — eliminate single-source dependency | Consider dual-sourcing from a geopolitically stable region | OTD 79.8% below 90% SLA — review logistics SLA contract | Initiate ESG/sustainability audit and request corrective action plan | Verify RSPO (Roundtable on Sustainable Palm Oil) certification status
PT Indo Cosmetic,Indonesia,Contract Manufacturing,11.3,1,-0.79,113.92,779,26,25.3,17,811,81.2,40,72,2.8,56.9,62.6,54.3,68.9,45.0,57.9,1,Tier 1 — High Risk,#E31837,Immediate Action Required,0.671,2.2,16.68,Qualify at least one alternate supplier — eliminate single-source dependency | Consider dual-sourcing from a geopolitically stable region | Defect rate 811 ppm exceeds threshold — trigger quality audit | OTD 81.2% below 90% SLA — review logistics SLA contract | Payment delays averaging 26 days — financial stress signal
J&T Express SEA,Indonesia,Logistics,12.3,1,-0.79,113.92,740,32,31.0,19,744,78.4,40,72,2.8,67.4,59.0,35.6,87.9,36.4,56.2,1,Tier 1 — High Risk,#E31837,Immediate Action Required,0.636,2.2,17.21,Qualify at least one alternate supplier — eliminate single-source dependency | Request latest audited financials + initiate credit watch | OTD 78.4% below 90% SLA — review logistics SLA contract | Payment delays averaging 32 days — financial stress signal
Sumitomo Seika,Japan,Superabsorbent Polymers,14.9,1,36.2,138.25,768,23,40.0,9,927,78.2,88,62,4.0,58.5,38.4,60.2,69.4,5.0,51.3,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.529,2.2,17.34,Qualify at least one alternate supplier — eliminate single-source dependency | Deploy supplier development team; set OTD improvement KPIs | Defect rate 927 ppm exceeds threshold — trigger quality audit | OTD 78.2% below 90% SLA — review logistics SLA contract
Cargill Palm,Indonesia,Palm Oil,18.6,0,-0.79,113.92,756,26,30.2,16,297,85.3,40,72,2.8,54.7,70.3,34.2,27.8,73.2,49.5,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.489,1.3,11.82,Consider dual-sourcing from a geopolitically stable region | OTD 85.3% below 90% SLA — review logistics SLA contract | Initiate ESG/sustainability audit and request corrective action plan | Verify RSPO (Roundtable on Sustainable Palm Oil) certification status | Payment delays averaging 26 days — financial stress signal
AB Enzymes GmbH,Germany,Enzymes,12.4,1,51.17,10.45,789,18,28.6,7,780,80.7,92,12,4.2,52.0,20.6,47.6,76.7,5.0,43.4,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.356,2.2,9.71,Qualify at least one alternate supplier — eliminate single-source dependency | OTD 80.7% below 90% SLA — review logistics SLA contract
Reliance Industries,India,Resins & Plastics,17.6,0,20.59,78.96,758,28,26.6,9,552,85.5,52,50,3.2,63.3,48.1,34.2,34.6,23.3,43.2,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.352,1.3,8.05,Request latest audited financials + initiate credit watch | OTD 85.5% below 90% SLA — review logistics SLA contract | Payment delays averaging 28 days — financial stress signal
Constantia Flexibles,Germany,Packaging,19.8,1,51.17,10.45,776,28,21.5,22,944,80.0,92,12,4.2,55.3,5.0,54.2,71.8,5.0,42.4,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.335,2.2,14.59,Qualify at least one alternate supplier — eliminate single-source dependency | Defect rate 944 ppm exceeds threshold — trigger quality audit | OTD 80.0% below 90% SLA — review logistics SLA contract | Payment delays averaging 28 days — financial stress signal
Huntsman Corporation,USA,Surfactants,19.3,1,37.09,-95.71,752,22,27.8,21,809,78.9,85,20,4.6,54.4,9.1,42.8,89.4,5.0,42.2,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.331,2.2,14.05,Qualify at least one alternate supplier — eliminate single-source dependency | Defect rate 809 ppm exceeds threshold — trigger quality audit | OTD 78.9% below 90% SLA — review logistics SLA contract
Nippon Shokubai,Japan,Superabsorbent Polymers,31.2,0,36.2,138.25,739,42,45.0,9,617,85.7,88,62,4.0,85.3,38.5,25.2,25.0,5.0,40.8,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.304,1.3,12.33,Request latest audited financials + initiate credit watch | OTD 85.7% below 90% SLA — review logistics SLA contract | Payment delays averaging 42 days — financial stress signal
Advanced Enzymes,India,Enzymes,8.6,0,20.59,78.96,762,32,31.7,9,430,86.3,52,50,3.2,60.8,50.2,32.7,17.9,17.3,39.5,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.28,1.3,3.13,Request latest audited financials + initiate credit watch | OTD 86.3% below 90% SLA — review logistics SLA contract | Payment delays averaging 32 days — financial stress signal
Cosmax Mexico,Mexico,Contract Manufacturing,9.6,0,23.63,-102.55,774,30,27.1,14,595,87.2,42,42,3.0,62.5,46.6,29.4,30.1,11.5,39.4,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.278,1.3,3.47,Request latest audited financials + initiate credit watch | OTD 87.2% below 90% SLA — review logistics SLA contract | Payment delays averaging 30 days — financial stress signal
Lotte Chemical,South Korea,Resins & Plastics,14.3,0,35.91,127.77,775,25,31.5,11,388,87.2,72,35,3.8,60.7,31.3,34.0,32.9,28.0,39.4,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.278,1.3,5.17,Request latest audited financials + initiate credit watch | OTD 87.2% below 90% SLA — review logistics SLA contract
Braskem SA,Brazil,Resins & Plastics,22.4,0,-14.24,-51.93,777,22,24.8,4,292,85.8,45,38,2.9,54.4,49.1,25.4,27.6,41.3,39.3,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.276,1.3,8.04,OTD 85.8% below 90% SLA — review logistics SLA contract
IOI Corporation,Malaysia,Palm Oil,38.4,0,4.21,101.98,775,27,25.1,14,357,88.8,60,35,3.4,45.5,30.9,41.9,25.1,53.6,39.2,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.274,1.3,13.68,Verify RSPO (Roundtable on Sustainable Palm Oil) certification status | Payment delays averaging 27 days — financial stress signal
Sime Darby Plantation,Malaysia,Palm Oil,29.7,0,4.21,101.98,804,20,37.5,6,343,88.2,60,35,3.4,47.8,41.8,25.3,32.9,48.7,37.7,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.248,1.3,9.58,Verify RSPO (Roundtable on Sustainable Palm Oil) certification status
SH Kelkar & Co,India,Fragrances,8.2,0,20.59,78.96,771,17,27.5,18,426,85.6,52,50,3.2,57.2,50.3,22.0,27.1,17.7,36.8,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.234,1.3,2.49,OTD 85.6% below 90% SLA — review logistics SLA contract
Givaudan SA,Switzerland,Fragrances,34.5,1,46.82,8.23,797,11,20.3,11,948,78.7,95,8,4.1,30.1,11.8,41.9,85.8,11.8,36.5,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.229,2.2,17.38,Qualify at least one alternate supplier — eliminate single-source dependency | Defect rate 948 ppm exceeds threshold — trigger quality audit | OTD 78.7% below 90% SLA — review logistics SLA contract
SABIC,Saudi Arabia,Resins & Plastics,28.9,0,23.89,45.08,769,21,20.6,10,380,86.6,48,15,3.3,48.0,41.2,33.0,23.7,17.4,35.4,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.212,1.3,7.96,OTD 86.6% below 90% SLA — review logistics SLA contract
Lomon Billions,China,Titanium Dioxide,11.8,0,35.86,104.19,763,23,21.9,10,468,85.4,55,45,3.6,52.2,44.6,21.1,27.2,28.5,35.2,2,Tier 2 — Moderate Risk,#FF8C00,Monitor Closely,0.209,1.3,3.21,OTD 85.4% below 90% SLA — review logistics SLA contract
Uflex Limited,India,Packaging,12.3,0,20.59,78.96,791,17,31.4,9,626,84.7,52,50,3.2,47.2,43.5,30.7,31.2,5.0,34.9,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.204,1.3,3.26,OTD 84.7% below 90% SLA — review logistics SLA contract
LyondellBasell,Netherlands,Resins & Plastics,33.2,0,52.13,5.29,789,22,18.1,6,321,89.5,91,12,4.2,44.3,25.0,37.5,33.4,19.0,34.2,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.194,1.3,8.37,No immediate actions — maintain regular review cadence
Dow Chemical,USA,Resins & Plastics,38.7,0,37.09,-95.71,779,20,29.4,15,699,87.2,85,20,4.6,47.9,21.0,36.2,28.7,17.7,33.1,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.179,1.3,9.01,OTD 87.2% below 90% SLA — review logistics SLA contract
Blue Dart Express,India,Logistics,18.7,0,20.59,78.96,768,17,28.5,14,558,85.3,52,50,3.2,57.9,40.4,21.8,16.8,13.8,33.0,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.178,1.3,4.33,OTD 85.3% below 90% SLA — review logistics SLA contract
Maersk Logistics,Netherlands,Logistics,76.2,0,52.13,5.29,811,21,20.5,6,577,84.6,91,12,4.2,31.5,8.9,50.0,51.7,5.0,32.9,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.177,1.3,17.53,OTD 84.6% below 90% SLA — review logistics SLA contract
Fareva Group,France,Contract Manufacturing,24.1,0,46.23,2.21,763,28,17.1,11,720,84.3,83,15,3.8,48.4,16.2,42.0,26.1,5.0,32.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.17,1.3,5.33,OTD 84.3% below 90% SLA — review logistics SLA contract | Payment delays averaging 28 days — financial stress signal
Galaxy Surfactants,India,Surfactants,12.8,0,20.59,78.96,796,16,24.5,4,533,88.7,52,50,3.2,47.0,36.4,30.1,21.5,11.4,32.4,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.17,1.3,2.83,No immediate actions — maintain regular review cadence
Wilmar International,Singapore,Palm Oil,44.2,0,1.35,103.82,801,27,20.4,6,381,87.0,88,10,4.2,43.3,8.3,32.1,34.7,43.9,31.7,3,Tier 3 — Low Risk,#28A745,Maintain & Optimize,0.162,1.3,9.31,OTD 87.0% below 90% SLA — review logistics SLA contract | Verify RSPO (Roundtable on Sustainable Palm Oil) certification status | Payment delays averaging 27 days — financial stress signal
